MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Rao Inderjit Singh,GURGAON,Haryana,Lok Sabha,147000000.0,22744840.0,15.47,14,34,29.17,124255160.0,28,20,8,
Shri Kesridevsinh Jhala (2023-29),Sitting Rajya Sabha,Gujarat,Rajya Sabha,171500000.0,26513551.0,15.46,21,123,14.58,144986449.0,51,45,6,
DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR,Maharashtra,Lok Sabha,147000000.0,22599453.0,15.37,18,148,10.84,124400547.0,26,26,0,
Shri Hibi Eden,ERNAKULAM,Kerala,Lok Sabha,162177260.11,24928980.0,15.37,18,94,16.07,137248280.11,34,34,0,
Appalanaidu Kalisetti,VIZIANAGARAM,Andhra Pradesh,Lok Sabha,147000000.0,22325622.0,15.19,36,67,34.95,124674378.0,56,54,2,
Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OSMANABAD,Maharashtra,Lok Sabha,184758519.11,27342263.0,14.8,29,164,15.03,157416256.11,43,39,4,
Shri Raghav Chadha (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,237229207.25,34558312.0,14.57,4,2,66.67,202670895.25,34,34,0,
Smt. Rekha Sharma (2024-28),Sitting Rajya Sabha,Haryana,Rajya Sabha,98000000.0,14183077.0,14.47,1,144,0.69,83816923.0,187,182,5,
Shri Haris Beeran (2024-30),Sitting Rajya Sabha,Kerala,Rajya Sabha,122500000.0,17480985.0,14.27,9,207,4.17,105019015.0,23,22,1,
RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,Telangana,Lok Sabha,147000000.0,20924125.0,14.23,18,194,8.49,126075875.0,45,40,5,
AGA SYED RUHULLAH MEHDI,SRINAGAR,Jammu And Kashmir,Lok Sabha,147000000.0,20822671.0,14.17,62,136,31.31,126177329.0,80,65,15,
Bansuri Swaraj,NEW DELHI,Delhi,Lok Sabha,154306950.0,21775293.0,14.11,41,69,37.27,132531657.0,46,44,2,
Shri Sudheer Gupta ,MANDSOUR,Madhya Pradesh,Lok Sabha,148988014.83,20845844.0,13.99,60,163,26.91,128142170.83,169,168,1,
KARTICK CHANDRA PAUL,RAIGANJ,West Bengal,Lok Sabha,202677986.56,28148611.0,13.89,99,302,24.69,174529375.56,102,102,0,
Pralhad Venkatesh Joshi,DHARWAD,Karnataka,Lok Sabha,147000000.0,20265814.0,13.79,28,174,13.86,126734186.0,65,55,10,
Dr Sukanta Majumdar ,BALURGHAT,West Bengal,Lok Sabha,157085364.9,21003612.0,13.37,33,153,17.74,136081752.9,41,41,0,
BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI,Maharashtra,Lok Sabha,147000000.0,19420448.0,13.21,11,126,8.03,127579552.0,32,32,0,
