MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
ANOOP PRADHAN BALMIKI,HATHRAS,Uttar Pradesh,Lok Sabha,147000000.0,97915147.0,66.61,69,37,65.09,49084853.0,141,141,0,
Shri Jaggesh (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,196063957.11,130587101.0,66.6,126,82,60.58,65476856.110000014,166,166,0,
NEERAJ MAURYA,AONLA,Uttar Pradesh,Lok Sabha,147000000.0,97488644.0,66.32,17,19,47.22,49511356.0,101,101,0,
THARANIVENTHAN M S,ARANI,Tamil Nadu,Lok Sabha,168337124.35,111315790.0,66.13,180,137,56.78,57021334.349999994,214,214,0,
SALENG A SANGMA,TURA,Meghalaya,Lok Sabha,147000000.0,96785000.0,65.84,119,218,35.31,50215000.0,424,420,4,
RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,Bihar,Lok Sabha,147000000.0,96375137.0,65.56,77,43,64.17,50624863.0,90,90,0,
Rajkumar Chahar ,FATEHPUR SIKRI,Uttar Pradesh,Lok Sabha,147000000.0,96369831.0,65.56,45,5,90.0,50630169.0,92,92,0,
DR. LATA WANKHEDE,SAGAR,Madhya Pradesh,Lok Sabha,147000000.0,95996591.0,65.3,81,155,34.32,51003409.0,250,244,6,
AKSHAYA YADAV,FIROZABAD,Uttar Pradesh,Lok Sabha,147000000.0,95931875.0,65.26,37,6,86.05,51068125.0,83,83,0,
KAMLESH JANGDE,JANJGIR CHAMPA,Chhattisgarh,Lok Sabha,150384382.11,98097656.0,65.23,254,90,73.84,52286726.110000014,599,596,3,
CHHATRA PAL SINGH GANGWAR,BAREILLY,Uttar Pradesh,Lok Sabha,147000000.0,95712065.0,65.11,142,44,76.34,51287935.0,290,290,0,
MANOJ KUMAR,SASARAM,Bihar,Lok Sabha,147000000.0,95686097.0,65.09,82,112,42.27,51313903.0,122,120,2,
KARAN BHUSHAN SINGH,KAISERGANJ,Uttar Pradesh,Lok Sabha,147000000.0,95454825.0,64.94,33,75,30.56,51545175.0,145,143,2,
Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,197118521.35,127377000.12,64.62,142,75,65.44,69741521.23000002,427,426,1,
RICHARD VANLALHMANGAIHA,MIZORAM,Mizoram,Lok Sabha,147000000.0,94866729.0,64.54,134,132,50.38,52133271.0,317,316,1,
Indra Hang Subba,SIKKIM,Sikkim,Lok Sabha,152003923.11,98023420.0,64.49,38,81,31.93,53980503.110000014,80,80,0,
Shri K.R.N. Rajeshkumar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,238513975.53,152999036.0,64.15,84,18,82.35,85514939.53,97,95,2,
ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,Manipur,Lok Sabha,147000000.0,93860392.0,63.85,21,29,42.0,53139608.0,67,66,1,
GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Maharashtra,Lok Sabha,147000000.0,92563767.0,62.97,0,57,0.0,54436233.0,54,51,3,
SK NURUL ISLAM,BASIRHAT,West Bengal,Lok Sabha,49000000.0,30740105.0,62.73,6,26,18.75,18259895.0,21,21,0,
AWADHESH PRASAD,FAIZABAD,Uttar Pradesh,Lok Sabha,147000000.0,92097873.0,62.65,97,106,47.78,54902127.0,288,242,46,
Dr. K. Laxman (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,197637007.11,123809716.0,62.65,275,48,85.14,73827291.11000001,323,311,12,
RAKESH RATHOR,SITAPUR,Uttar Pradesh,Lok Sabha,147000000.0,91524162.0,62.26,21,50,29.58,55475838.0,105,104,1,
SARABJEET SINGH KHALSA,FARIDKOT,Punjab,Lok Sabha,150850348.15,93855473.0,62.22,227,389,36.85,56994875.150000006,703,699,4,
SHER SINGH GHUBAYA,FIROZPUR,Punjab,Lok Sabha,147000000.0,91425989.0,62.19,361,34,91.39,55574011.0,450,450,0,
CHHOTELAL,ROBERTSGANJ,Uttar Pradesh,Lok Sabha,147000000.0,90952339.0,61.87,261,174,60.0,56047661.0,728,724,4,
Dinesh Chandra Yadav,MADHEPURA,Bihar,Lok Sabha,150070866.11,92486814.0,61.63,105,51,67.31,57584052.110000014,113,113,0,
SACHITHANANTHAM R,DINDIGUL,Tamil Nadu,Lok Sabha,147000000.0,90527072.0,61.58,50,84,37.31,56472928.0,86,84,2,
Manickam Tagore B,VIRUDHUNAGAR,Tamil Nadu,Lok Sabha,147000000.0,90165437.0,61.34,69,19,78.41,56834563.0,93,92,1,
Prof SP Singh Baghel,AGRA,Uttar Pradesh,Lok Sabha,147000000.0,90115338.0,61.3,55,55,50.0,56884662.0,127,127,0,
Shri Dorjee Tshering Lepcha (2024-30),Sitting Rajya Sabha,Sikkim,Rajya Sabha,150170726.11,91921040.0,61.21,85,33,72.03,58249686.110000014,183,183,0,
Shri Karti P Chidambaram ,SIVAGANGA,Tamil Nadu,Lok Sabha,159049284.11,97237605.0,61.14,117,67,63.59,61811679.110000014,145,145,0,
Dr. Sikander Kumar (2022-28),Sitting Rajya Sabha,Himachal Pradesh,Rajya Sabha,207863957.11,126911197.04,61.05,168,226,42.64,80952760.07000001,418,405,13,
Shri Ratanjit Pratap Narain Singh (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,89673432.0,61.0,83,42,66.4,57326568.0,213,208,5,
Asit Kumar Mal ,BOLPUR,West Bengal,Lok Sabha,275694456.74,167302248.0,60.68,134,68,66.34,108392208.74,156,153,3,
Dr Mohammad Jawed,KISHANGANJ,Bihar,Lok Sabha,148669229.11,89065400.0,59.91,130,74,63.73,59603829.110000014,138,138,0,
BHARTI PARDHI,BALAGHAT,Madhya Pradesh,Lok Sabha,154398389.01,92426127.0,59.86,80,85,48.48,61972262.00999999,491,485,6,
Shri Satish Kumar Gautam ,ALIGARH,Uttar Pradesh,Lok Sabha,147000000.0,87713538.0,59.67,21,55,27.63,59286462.0,127,127,0,
Kiren Rijiju,ARUNACHAL WEST,Arunachal Pradesh,Lok Sabha,147000000.0,87533016.0,59.55,114,17,87.02,59466984.0,162,155,7,
Sanjay Seth ,RANCHI,Jharkhand,Lok Sabha,147064357.11,87528580.0,59.52,49,101,32.67,59535777.110000014,238,232,6,
K E PRAKASH,ERODE,Tamil Nadu,Lok Sabha,147000000.0,87182728.0,59.31,141,101,58.26,59817272.0,148,147,1,
CHANDRA SHEKHAR,NAGINA,Uttar Pradesh,Lok Sabha,147000000.0,87033825.0,59.21,286,227,55.75,59966175.0,893,784,109,
Janardan Mishra,REWA,Madhya Pradesh,Lok Sabha,147000000.0,86935425.0,59.14,1,106,0.93,60064575.0,78,76,2,
CN Annadurai,TIRUVANNAMALAI,Tamil Nadu,Lok Sabha,148579509.11,87500808.0,58.89,171,23,88.14,61078701.110000014,180,180,0,
Suresh Kumar Kashyap,SHIMLA,Himachal Pradesh,Lok Sabha,153563957.11,90424211.0,58.88,83,446,15.69,63139746.110000014,591,586,5,
NALIN SOREN,DUMKA,Jharkhand,Lok Sabha,147364097.11,86550781.0,58.73,106,319,24.94,60813316.110000014,289,289,0,
LALJI VERMA,AMBEDKAR NAGAR,Uttar Pradesh,Lok Sabha,147000000.0,86165424.0,58.62,61,202,23.19,60834576.0,287,280,7,
ADITYA YADAV,BADAUN,Uttar Pradesh,Lok Sabha,147000000.0,85488147.0,58.16,41,64,39.05,61511853.0,186,162,24,
Ganesan Selvam,KANCHEEPURAM,Tamil Nadu,Lok Sabha,186508749.11,108395338.0,58.12,272,177,60.58,78113411.11000001,289,288,1,
Shri Mukul Wasnik (2022-28),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,196063957.11,113678488.01,57.98,94,79,54.34,82385469.10000001,452,439,13,
ALFRED KANNGAM S ARTHUR,OUTER MANIPUR,Manipur,Lok Sabha,147000000.0,84951963.0,57.79,15,20,42.86,62048037.0,72,70,2,
Shri Pradip Kumar Varma (2024-30),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,178564551.09,101069118.0,56.6,24,214,10.08,77495433.09,244,230,14,
Durga Das Uikey ,BETUL,Madhya Pradesh,Lok Sabha,151569502.91,85636977.0,56.5,288,214,57.37,65932525.91,437,435,2,
TANUJ PUNIA,BARABANKI,Uttar Pradesh,Lok Sabha,148198170.11,83397272.0,56.27,13,20,39.39,64800898.110000014,30,30,0,
Arvind Dharmapuri,NIZAMABAD,Telangana,Lok Sabha,281396355.11,158096817.0,56.18,476,440,51.97,123299538.11,526,525,1,
Shri P. Chidambaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,236312242.52,132583554.0,56.11,75,69,52.08,103728688.52,188,186,2,
Mahesh Sharma,GAUTAM BUDDHA NAGAR,Uttar Pradesh,Lok Sabha,148816284.11,83408358.0,56.05,68,103,39.77,65407926.110000014,130,126,4,
Dr. Vikramjit Singh Sahney (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,198656208.57,111224375.74,55.99,27,33,45.0,87431832.83000003,348,346,2,
Shri Naresh Bansal (2020-26),Sitting Rajya Sabha,Uttarakhand,Rajya Sabha,222043184.71,124316327.0,55.99,106,127,45.49,97726857.71,215,212,3,
V S Matheswaran,NAMAKKAL,Tamil Nadu,Lok Sabha,162539930.11,90580955.0,55.73,139,70,66.51,71958975.11000001,141,137,4,
K Subbarayan,TIRUPPUR,Tamil Nadu,Lok Sabha,147000000.0,81901423.0,55.72,65,53,55.08,65098577.0,75,75,0,
DEVESH SHAKYA,ETAH,Uttar Pradesh,Lok Sabha,147000000.0,81351075.0,55.34,220,106,67.48,65648925.0,581,581,0,
Gyaneshwar Patil,KHANDWA,Madhya Pradesh,Lok Sabha,155690684.77,86011926.0,55.25,164,222,42.49,69678758.77000001,459,458,1,
Shri Meda Raghunadha Reddy (2024-30),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,147000000.0,81094462.0,55.17,110,139,44.18,65905538.0,137,131,6,
SHASHANK MANI,DEORIA,Uttar Pradesh,Lok Sabha,147000000.0,80936917.0,55.06,45,81,35.71,66063083.0,142,133,9,
CHANDAN CHAUHAN,BIJNOR,Uttar Pradesh,Lok Sabha,147000000.0,80796698.0,54.96,14,102,12.07,66203302.0,209,188,21,
Shri Narendra Modi,VARANASI,Uttar Pradesh,Lok Sabha,162070276.11,88819703.0,54.8,191,25,88.43,73250573.11000001,191,155,36,
TARIQ ANWAR,KATIHAR,Bihar,Lok Sabha,147000000.0,79735060.0,54.24,60,26,69.77,67264940.0,82,77,5,
Vijay Kumar Dubey,KUSHI NAGAR,Uttar Pradesh,Lok Sabha,148900000.0,80256423.0,53.9,132,90,59.46,68643577.0,324,322,2,
SAVITRI THAKUR,DHAR,Madhya Pradesh,Lok Sabha,147000000.0,78825366.0,53.62,179,160,52.8,68174634.0,479,432,47,
Shri Rwngwra Narzary (2022-28),Sitting Rajya Sabha,Assam,Rajya Sabha,220563957.11,118006237.0,53.5,16,150,9.64,102557720.11,174,174,0,
Smt Harsimrat Kaur Badal,BHATINDA,Punjab,Lok Sabha,159775982.39,84901458.0,53.14,144,206,41.14,74874524.38999999,1471,1410,61,
Vishnu Dayal Ram,PALAMU,Jharkhand,Lok Sabha,158176083.11,83852477.0,53.01,117,154,43.17,74323606.11000001,333,332,1,
KALI CHARAN MUNDA,KHUNTI,Jharkhand,Lok Sabha,147000000.0,77772545.0,52.91,31,274,10.16,69227455.0,240,240,0,
D Ravikumar ,VILUPPURAM,Tamil Nadu,Lok Sabha,197598306.11,104427486.0,52.85,222,66,77.08,93170820.11,229,225,4,
Shri Vivek K. Tankha (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,220563957.11,116275421.0,52.72,118,388,23.32,104288536.11,632,625,7,
Shri Anil Firojiya,UJJAIN,Madhya Pradesh,Lok Sabha,147000000.0,77451399.0,52.69,152,96,61.29,69548601.0,290,286,4,
Shri Imran Pratapgarhi (2022-28),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,196000000.0,102738277.0,52.42,53,55,49.07,93261723.0,75,75,0,
Shankar Lalwani,INDORE,Madhya Pradesh,Lok Sabha,147000000.0,76896131.0,52.31,145,137,51.42,70103869.0,272,260,12,
Shri Narayanasa K. Bhandage (2024-30),Sitting Rajya Sabha,Karnataka,Rajya Sabha,147450000.0,77113625.0,52.3,87,69,55.77,70336375.0,165,163,2,
Kalyan Banerjee,SREERAMPUR,West Bengal,Lok Sabha,147000000.0,76719145.0,52.19,83,37,69.17,70280855.0,110,110,0,
Sasikanth Senthil,TIRUVALLUR,Tamil Nadu,Lok Sabha,171500000.0,89433784.0,52.15,87,95,47.8,82066216.0,133,129,4,
DAGGUMALLA PRASADA RAO,CHITTOOR,Andhra Pradesh,Lok Sabha,147000000.0,76341346.0,51.93,111,115,49.12,70658654.0,156,156,0,
MURASOLI S,THANJAVUR,Tamil Nadu,Lok Sabha,147000000.0,76201785.0,51.84,45,44,50.56,70798215.0,71,69,2,
Shri Chunnilal Garasiya (2024-30),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,147000000.0,75813515.0,51.57,24,152,13.64,71186485.0,177,176,1,
Mr Gopal Jee Thakur,DARBHANGA,Bihar,Lok Sabha,147000000.0,75767756.0,51.54,59,120,32.96,71232244.0,156,156,0,
RAMESH AWASTHI,KANPUR,Uttar Pradesh,Lok Sabha,147000000.0,75758324.0,51.54,48,66,42.11,71241676.0,98,77,21,
Bidyut Baran Mahato,JAMSHEDPUR,Jharkhand,Lok Sabha,147000000.0,75745972.0,51.53,2,176,1.12,71254028.0,189,189,0,
MALVINDER SINGH KANG,ANANDPUR SAHIB,Punjab,Lok Sabha,147000000.0,75589623.0,51.42,109,236,31.59,71410377.0,758,739,19,
VINOD KUMAR BIND,BHADOHI,Uttar Pradesh,Lok Sabha,147000000.0,75517267.0,51.37,407,137,74.82,71482733.0,525,418,107,
Shri Pramod Tiwari (2022-28),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,196063957.11,100649660.0,51.34,64,67,48.85,95414297.11,219,218,1,
Ajay Kumar Mandal,BHAGALPUR,Bihar,Lok Sabha,147000000.0,75252620.0,51.19,38,36,51.35,71747380.0,71,71,0,
DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR,Punjab,Lok Sabha,147000000.0,75095197.0,51.09,93,186,33.33,71904803.0,1254,1242,12,
UTKARSH VERMA MADHUR,KHERI,Uttar Pradesh,Lok Sabha,147000000.0,74909150.0,50.96,347,13,96.39,72090850.0,699,697,2,
Shri Harsh Mahajan (2024-30),Sitting Rajya Sabha,Himachal Pradesh,Rajya Sabha,147000000.0,74881105.0,50.94,152,305,33.26,72118895.0,470,463,7,
KRISHNA DEVI SHIVSHANKER PATEL,BANDA,Uttar Pradesh,Lok Sabha,147000000.0,74835215.67,50.91,202,240,45.7,72164784.33,329,328,1,
MOHIBBULLAH,RAMPUR,Uttar Pradesh,Lok Sabha,147000000.0,74744421.0,50.85,219,161,57.63,72255579.0,344,300,44,
Pratima Mondal ,JOYNAGAR,West Bengal,Lok Sabha,147000000.0,74379705.0,50.6,169,54,75.78,72620295.0,185,185,0,
RADHE SHYAM RATHIYA,RAIGARH,Chhattisgarh,Lok Sabha,159706972.09,80152296.0,50.19,72,66,52.17,79554676.09,211,209,2,
PRABHAKAR REDDY VEMIREDDY,NELLORE,Andhra Pradesh,Lok Sabha,147000000.0,73610054.0,50.07,123,34,78.34,73389946.0,136,135,1,
Smt. Sonia Gandhi (2024-30),Sitting Rajya Sabha,Rajasthan,Rajya Sabha,147000000.0,73600244.0,50.07,46,82,35.94,73399756.0,144,140,4,
Shri Surendra Singh Nagar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,220563957.11,109500434.16,49.65,98,200,32.89,111063522.95000002,281,272,9,
ABHAY KUMAR SINHA,AURANGABAD,Bihar,Lok Sabha,147000000.0,72972894.0,49.64,124,147,45.76,74027106.0,158,156,2,
Shri Babubhai Jesangbhai Desai (2023-29),Sitting Rajya Sabha,Gujarat,Rajya Sabha,171500000.0,84930425.0,49.52,137,128,51.7,86569575.0,170,166,4,
